{0000}	 Suffering from shock![2][0]
{0063}	KNIFE GUY: Wait![2][1] You took all the trouble to[2][1] come here, so...stick around![2][0]
{0064}	KNIFE GUY: Come on, brother![2][1] Let’s thrash ’em![2][0]
{0065}	KNIFE GUY & GRATE GUY: Yikes![2][1] They’re pretty tough![2][0]
{0066}	GRATE GUY: Whoopdy do![2][0]
{0067}	BOOSTER: Did the cake just move?[2][0]
{0068}	BOOSTER: H...huh?!![2][1] That MUST be Mario![2][1] Let’s make sure.[2][1] You! Check it out![2][0]
{0069}	BOOSTER: Harumph![2][1] Just as I thought![2][1] It IS Mario.[2][1] Let’s...wind him up![2][0]
{0070}	PUNCHINELLO: Good day.[2][1] The name’s Nello...PUNCHINELLO![2][0]
{0071}	PUNCHINELLO: Good day.[2][1] The name’s Nello...PUNCHINELLO![2][0]
{0072}	PUNCHINELLO: They say I’m a hot head,[2][1] but I’ll show them![2][1] You...YOU will make me famous![2][1] So long![2][0]
{0073}	PUNCHINELLO: Not bad. Not bad![2][1] Now let’s up the ante![2][0]
{0074}	PUNCHINELLO: Grrrrr...[2][1] All right![2][1] It’s CLOBBERING TIME![2][0]
{0075}	PUNCHINELLO: Arghhh!![2][0]
{0076}	PUNCHINELLO: Simmer down, fluffy![2][1] I’m not gonna waste this on YOU.[2][1] Who knows what might happen![2][0]
{0077}	PUNCHINELLO: Enough![2][1] I’ve got my pride.[2][1] Now you’re in for it![2][0]
{0078}	 Huh? What the hay?[2][0]
{0079}	 Why isn’t it working?[2][0]
{0080}	 Argh!![12][12][0]
{0081}	MALLOW: Punchinello...?[2][1] Never heard of ya.[2][0]
{0082}	MALLOW: I think he’s bluffing.[2][0]
{0083}	GENO: Take your best shot![2][0]
{0084}	PUNCHINELLO: I must be dreaming![2][1] I’m ruined![2][1] I didn’t want to do this,[2][1] but now, I have NO CHOICE!![2][0]
{0085}	MALLOW: Mario!!![2][1] If this thing explodes,[2][1] we’re history!![2][0]
{0086}	GENO: This is a fine mess![2][0]
{0087}	MALLOW: Let’s scram! NOW![2][0]
{0088}	 Owww![2][0]
{0089}	GENO: It’s gonna blow!![2][0]
{0090}	MALLOW: NO!![2][0]
{0091}	JOHNNY: Fuwa ha ha...[2][1] Not bad, fellas.[2][0]
{0092}	 How about it, Mario?[2][1] Mario versus me![2][1] Wanna mix it up?[2][0]
{0093}	 Good fun![2][1] And good for you, too![2][0]
{0094}	 All right.[2][1] Here comes my backup![2][0]
{0095}	 Poke, poke, poke![2][0]
{0096}	TORTE: Ouch! OUCH![2][0]
{0097}	 Vat are you doing?![2][0]
{0098}	APPRENTICE: Chef Torte![2][1] The cake’s MOVING![2][0]
{0099}	TORTE: Vas?! Ist NOT moving![2][1] Back to verk![2][0]
{0100}	APPRENTICE: I KNOW it was moving![2][0]
{0101}	TORTE: Now vat?[2][0]
{0102}	TORTE: Talk no more of zees![2][0]
{0103}	APPRENTICE: No! Really, truly.[2][1] Why would I lie?[2][0]
{0104}	TORTE: Because you are...IDIOT![2][0]
{0105}	 Zee! It IS NOT moving![2][0]
{0106}	 Huh?![2][0]
{0107}	TORTE: Zee cake’s alive! RUN!![2][0]
{0108}	APPRENTICE: See? I was RIGHT![2][0]
{0109}	SNIFIT 1: Maybe we ought to wait.[2][0]
{0110}	SNIFIT 2: This is Booster’s[2][1] wedding cake![2][0]
{0111}	SNIFIT 3: He’ll have a fit[2][1] if we nibble on it![2][0]
{0112}	BOOSTER: Hey, No.1![2][1] Where’s my cake?![2][0]
{0113}	SNIFIT 1: Booster, Sir![2][1] There’s a 70% chance the object[2][1] you’re standing on is a cake.[2][0]
{0114}	BOOSTER: [43][43][43][43]?[2][1] THIS thing’s a cake?[2][0]
{0115}	 Okay, everyone!![2][1] Here’s the stumper.[2][1] How do we eat this?[2][1] I SAY we boil it![2][1] No.2, what do you say?[2][0]
{0116}	SNIFIT 2: Way too messy![2][1] Why don’t you just swallow it?![2][0]
{0117}	BOOSTER: WHAT?! In one GULP?[2][1] That’s easier said than done![2][0]
{0118}	SNIFIT 3: Come, Booster![2][1] You can do it![2][1] Open wide, please![2][0]
{0119}	BOOSTER: My nerves are shot.[2][1] I feel like I’ve forgotten to tie[2][1] my cord before a bungee jump![2][0]
{0120}	SNIFIT: Here it comes![2][0]
{0121}	BOOSTER: WAIT! WAIT![2][0]
{0122}	SNIFIT: Concentrate, Sir![2][0]
{0123}	BOOSTER: This doesn’t feel right.[2][0]
{0124}	BOOSTER: Mmmmmm...[2][1] Delicious![2][1] It’s so good it makes me want to cry![2][0]
{0125}	SNIFIT: Congratulations, Sir.[2][1] The wedding is now officially over!![2][0]
{0126}	BOOSTER: Thanks, everyone.[2][0]
{0127}	BOOSTER: It’s a wrap. Let’s go.[2][0]
{0128}	 Zapped![2][0]
{0129}	 Bowser’s mood has affected[2][1] the monster![2][1] The monster’s confused!![2][0]
{0130}	 Bowser’s scaring the monster![2][0]
{0131}	 Croco’s dousing a tail fire...[2][0]
{0132}	 Mack’s stunned!![2][0]
{0133}	 Mirage attack![2][0]
{0134}	 Multiplier![2][0]
{0135}	 Stop it![2][0]
{0136}	 Stop! Stop!![2][0]
{0137}	 Blow those candles out![2][0]
{0138}	             First, push “A”.[2][0]
{0139}	        Push “A” again to attack![2][0]
{0140}	              Wait a second![2][0]
{0141}	            Hit “A” again, here.[0]
{0142}	               Good timing![2][0]
{0143}	      When successful, your attack[2][1]      changes and damage increases.[2][0]
{0144}	      Hit “A” prior to attack, too![0]
{0145}	               Good timing![2][0]
{0146}	       This can help you decrease[2][1]   the amount of damage done to you.[2][1]      It won’t always work, though.[2][0]
{0147}	       Now, try a “Special” strike![2][0]
{0148}	              Push “Y” here![0]
{0149}	   Your attack will be more powerful![2][0]
{0150}	           Learn Special Skills[2][1]          as you gain experience.[2][1]           They’re on the menu![2][0]
{0151}	          Read about ’em, okay?[2][0]
{0152}	 The Forkies are enraptured![2][0]
{0153}	 The Forkies have come[2][1] to their senses![2][0]
{0154}	VALENTINA: Dodo! DODO![2][1] Come here this minute![2][0]
{0155}	VALENTINA: Dodo! DODO![2][1] Come here this minute![2][0]
{0156}	VALENTINA: Dodo?![2][1] How could you lose already?[2][1] Well, come on![2][1] Get over here![2][0]
{0157}	VALENTINA: I don’t believe this![2][0]
{0158}	 The show’s over, folks![2][1] Dodo...! Let’s get outta here!![2][0]
{0159}	 Don’t just sit there. HELP ME![2][0]
{0160}	 Well, everyone...[2][1] Until we meet again![2][0]
{0161}	 Mwa, ha, ha, ha, ha...[2][0]
{0162}	SHY AWAY: La dee dah~[37][2][0]
{0163}	 Hi ho, dee dum~[37][2][0]
{0164}	 There there, my pretties![2][0]
{0165}	 It’s shower time~[37][2][0]
{0166}	 It’s recycled water![2][0]
{0167}	 I added some nutrients~[37][2][0]
{0168}	 Ack! Sour![2][0]
{0169}	 Mmm, tastes peachy...[2][0]
{0170}	 Yuck! How repulsive![2][0]
{0171}	 Bitter, but not bad...[2][0]
{0172}	 YES! THIS is YUMMY~[2][0]
{0173}	 You all LOOK delicious![2][1] But how do you TASTE?[2][0]
{0174}	 There we are![2][0]
{0175}	BELOME: I never forget a taste![2][1] In fact, I can clone someone[2][1] after just one slurp. Watch![2][0]
{0176}	BELOME: Oh, no, not again![2][1] I’m STARVING![2][1] Time to go home for dinner.[2][1] Goodbye, boys and girls![2][0]
{0177}	AXEM RED: [2][1] This Star Piece gives people hope![2][1] It needs to be destroyed![2][0]
{0178}	AXEM RED: Enough!![2][1] Now I’m angry![2][1] Time to finish this![2][1] Formation...HO!![2][0]
{0179}	 Here we GO![2][0]
{0180}	 Force Beam energized![2][1] Maximum charge![2][0]
{0181}	 NOW! Fire the BREAKER!![2][0]
{0182}	AXEM RED: What?[2][0]
{0183}	AXEM RED: Then change brands![2][0]
{0184}	AXEM RED: Serves ya right![2][0]
{0185}	AXEM RED: Chew on your tongue![2][0]
{0186}	AXEM RED:[2][1] You’re totally out of shape![2][0]
{0187}	AXEM RED: SHUT UP, all of you![2][1] We’ve got a job to do![2][0]
{0188}	 Yo, RED!![2][0]
{0189}	AXEM PINK: My make-up’s running!![2][0]
{0190}	AXEM BLACK: I broke my shades![2][0]
{0191}	AXEM YELLOW: I’m... hungry!![2][0]
{0192}	AXEM GREEN: I’ve got a headache.[2][0]
{0193}	AXEM RED: Ooh, my head is spinning![2][0]
{0194}	AXEM RED: We fight for evil![2][0]
{0195}	AXEM BLACK: We live for disorder![2][0]
{0196}	AXEM GREEN: We like what we do![2][0]
{0197}	AXEM PINK: We struggle for chaos![2][0]
{0198}	AXEM YELLOW: We are...[2][0]
{0199}	 ...the AXEM RANGERS!![2][0]
{0200}	AXEM RED: This isn’t possible![2][1] We are...invincible![2][0]
{0201}	AXEM PINK: Can this be happening[2][1] to the AXEM RANGERS?[2][0]
{0202}	 Uwaaaaaah!!![12][0]
{0203}	JINX: Phew! Simply...AMAZING![2][0]
{0204}	 Yikes! You’re tough![2][0]
{0205}	BIRDO: Hello[36]![2][1] I’m Birdo.[2][0]
{0206}	BIRDO: Tee, hee![2][1] Ouch, you’re hurting me![2][1] Now it’s my turn![2][1] Get it while it’s hot![2][0]
{0207}	BIRDO: Oh, I’m never gonna let ya go.[2][1] You’re just too...CUTE![2][0]
{0208}	 The monster is stunned![2][0]
{0209}	 CAUTION: Confused monster![2][0]
{0210}	 Heavy Troopa’s ready to launch.[2][0]
{0211}	 Jawful’s sleeping.[2][0]
{0212}	 Jawful’s awake now![2][0]
{0213}	 The monster’s getting furious![2][0]
{0214}	MOKUKA: Duh, huh huh...[2][0]
{0215}	CULEX: I am matter...[2][1] I am antimatter...[2][1] I can see your past...[2][1] I can see your future...[2][1] I consume time...[2][1] And I will consume you![2][0]
{0216}	 Monsters are inside![2][0]
{0217}	 Magikoopa’s hiding![2][0]
{0218}	 The EYE is protecting Exor!![2][0]
{0219}	 Exor’s protection’s gone!![2][0]
{0220}	 Time is marching on![2][0]
{0221}	 The watch is broken![2][0]
{0222}	 Recharging!![2][0]
{0223}	 Guooooooo![2][1] My b...body and head are burning![2][1] It’s not...possible...![2][1] I don’t believe it...![2][1] I’m...finished...done for...![2][1] Guooooooooo...noooooo...![2][0]
{0224}	Guooooo! C...can’t move...![2][0]
{0225}	Mwa ha! I am burning with power![2][0]
{0226}	BOOMER: Argh![2][1] This is absurd![2][1] I CAN’T be defeated by THEM![2][1] I won’t let this happen![2][1] I won’t fall in battle...[2][0]
{0227}	 I don’t need your sympathy![2][1] I am a soldier...[2][1] I am prepared to...go...[2][0]
{0228}	CHANDELI-HO: Boomer![2][1] Oh, poor Boomer![2][1] But not to worry![2][1] A little fall isn’t gonna hurt you![2][0]
{0229}	CHANDELI-HO: All right, Mario![2][1] I’ll lead you to the top![2][1] We must hurry to the appointed place![2][0]
{0230}	CLOAKER: Mwee hee hee![2][1] Behold! They’ve taken the bait![2][0]
{0231}	DOMINO: Hee hee hee![2][1] I guess I can spare a few minutes![2][1] Maybe they’d like to...play![2][0]
{0232}	CLOAKER: This is tougher than[2][1] I thought![2][1] I don’t like where this is going...[2][0]
{0233}	DOMINO: Phew! What weaklings![2][1] How shameful if they were to[2][1] defeat me![2][0]
{0234}	CLOAKER: Put your dukes up![2][0]
{0235}	DOMINO: It’s clobbering time![2][0]
{0236}	 Gasp...cough...hack...[2][1] H...having an attack...gasp...[2][0]
{0237}	CHANDELI-HO: Yeoouuch!![2][0]
{0238}	 See ya later, kids![2][0]
{0239}	 Hang on tight![2][1] And away we go![2][0]
{0240}	CHANDELI-HO: Increasing speed...![2][0]
{0241}	CHANDELI-HO:[2][1] Next stop, the top floor![2][1] Please fasten your seatbelts and...[2][1] Wait a sec! There ARE no seatbelts![2][0]
{0242}	 Take a dive, Chandeli-ho![2][0]
{0243}	SMITHY: NOOOOOOOOOOOO...!!![2][0]
{0244}	AERO: Calm down, Smithy![2][1] Your head looks like a geyser!![2][0]
{0245}	DRILL BIT: Don’t get so worked up![2][1] Think of your blood pressure![2][0]
{0246}	SHYSTER:[2][1] We just built this yesterday,[2][1] and the foundation’s very weak.[2][1] So...STOP SHAKING THE FLOOR![2][0]
{0247}	SMITHY: How utterly annoying![2][0]
{0248}	 Huh?![2][1] What the...?![2][1] How in the heck...?![2][0]
{0249}	SMITHY: You kids should be ashamed[2][1] of yourselves for making me[2][1] so upset![2][0]
{0250}	SMITHY:[2][1] Uwoooooooo...[2][1] I’m burning...seething...[2][1] Never have I been so wronged...[2][1] It is time...[2][1] I will show you my real form...[2][1] I will show you my true power...[2][1] I will teach you respect...[2][1] And I shall have my revenge...[2][0]
{0251}	 Guooooooo!!!!![2][1] Come on, you puny ants![2][0]
{0252}	 The monster is mute![12][0]
{0253}	 Monster’s FP is gone![12][0]
{0254}	 Error message[12][0]
{0255}	 Go, World![12][0]
