{0000}	                     INN[6]
{0080}	          Got a “[26]”![6]
{0081}	          Got a “[26]”![6]
{0082}	          Got a “[26]”![6]
{0083}	          Got a “[26]”![6]
{0084}	          Got a “[26]”![6]
{0085}	          Got a “[26]”![6]
{0086}	          Got a “[26]”![6]
{0087}	          Got a “[26]”![6]
{0088}	          Got a “[26]”![6]
{0089}	          Got a “[26]”![6]
{0090}	          Got a “[26]”![6]
{0091}	          Got a “[26]”![6]
{0092}	          Got a “[26]”![6]
{0093}	          Got a “[26]”![6]
{0094}	          Got a “[26]”![6]
{0095}	          Got a “[26]”![6]
{0096}	          Got a “[26]”![6]
{0097}	          Got a “[26]”![6]
{0098}	          Got a “[26]”![6]
{0099}	          Got a “[26]”![6]
{0100}	          Got a “[26]”![6]
{0101}	          Got a “[26]”![6]
{0102}	          Got a “[26]”![6]
{0103}	          Got a “[26]”![6]
{0104}	          Got a “[26]”![6]
{0105}	          Got a “[26]”![6]
{0106}	          Got a “[26]”![6]
{0107}	          Got a “[26]”![6]
{0108}	          Got a “[26]”![6]
{0109}	          Got a “[26]”![6]
{0110}	          Got a “[26]”![6]
{0111}	          Got a “[26]”![6]
{0112}	          Got a “[26]”![6]
{0113}	          Got a “[26]”![6]
{0114}	          Got a “[26]”![6]
{0115}	          Got a “[26]”![6]
{0116}	          Got a “[26]”![6]
{0117}	          Got a “[26]”![6]
{0118}	          Got a “[26]”![6]
{0119}	          Got a “[26]”![6]
{0120}	          Got a “[26]”![6]
{0121}	          Got a “[26]”![6]
{0122}	          Got a “[26]”![6]
{0123}	          Got a “[26]”![6]
{0124}	          Got a “[26]”![6]
{0125}	          Got a “[26]”![6]
{0126}	          Got a “[26]”![6]
{0127}	          Got a “[26]”![6]
{0128}	          Got a “[26]”![6]
{0129}	          Got a “[26]”![6]
{0130}	          Got a “[26]”![6]
{0131}	          Got a “[26]”![6]
{0132}	          Got a “[26]”![6]
{0133}	          Got a “[26]”![6]
{0134}	          Got a “[26]”![6]
{0135}	          Got a “[26]”![6]
{0136}	          Got a “[26]”![6]
{0137}	          Got a “[26]”![6]
{0138}	          Got a “[26]”![6]
{0139}	          Got a “[26]”![6]
{0140}	          Got a “[26]”![6]
{0141}	          Got a “[26]”![6]
{0142}	          Got a “[26]”![6]
{0143}	          Got a “[26]”![6]
{0144}	          Got a “[26]”![6]
{0145}	          Got a “[26]”![6]
{0146}	          Got a “[26]”![6]
{0147}	          Got a “[26]”![6]
{0148}	          Got a “[26]”![6]
{0149}	          Got a “[26]”![6]
{0150}	          Got a “[26]”![6]
{0151}	          Got a “[26]”![6]
{0152}	          Got a “[26]”![6]
{0153}	          Got a “[26]”![6]
{0154}	          Got a “[26]”![6]
{0155}	          Got a “[26]”![6]
{0156}	          Got a “[26]”![6]
{0157}	          Got a “[26]”![6]
{0158}	          Got a “[26]”![6]
{0159}	          Got a “[26]”![6]
{0160}	          Got a “[26]”![6]
{0161}	          Got a “[26]”![6]
{0162}	          Got a “[26]”![6]
{0163}	          Got a “[26]”![6]
{0164}	          Got a “[26]”![6]
{0165}	          Got a “[26]”![6]
{0166}	          Got a “[26]”![6]
{0167}	          Got a “[26]”![6]
{0168}	          Got a “[26]”![6]
{0169}	          Got a “[26]”![6]
{0170}	          Got a “[26]”![6]
{0171}	          Got a “[26]”![6]
{0172}	          Got a “[26]”![6]
{0173}	          Got a “[26]”![6]
{0174}	          Got a “[26]”![6]
{0175}	          Got a “[26]”![6]
{0176}	          Got a “[26]”![6]
{0177}	          Got a “[26]”![6]
{0178}	          Got a “[26]”![6]
{0179}	          Got a “[26]”![6]
{0180}	          Got a “[26]”![6]
{0181}	          Got a “[26]”![6]
{0182}	          Got a “[26]”![6]
{0183}	          Got a “[26]”![6]
{0184}	          Got a “[26]”![6]
{0185}	          Got a “[26]”![6]
{0186}	          Got a “[26]”![6]
{0187}	          Got a “[26]”![6]
{0188}	          Got a “[26]”![6]
{0189}	          Got a “[26]”![6]
{0190}	          Got a “[26]”![6]
{0191}	          Got a “[26]”![6]
{0192}	          Got a “[26]”![6]
{0193}	          Got a “[26]”![6]
{0194}	          Got a “[26]”![6]
{0195}	          Got a “[26]”![6]
{0196}	          Got a “[26]”![6]
{0197}	          Got a “[26]”![6]
{0198}	          Got a “[26]”![6]
{0199}	          Got a “[26]”![6]
{0200}	          Got a “[26]”![6]
{0201}	          Got a “[26]”![6]
{0202}	          Got a “[26]”![6]
{0203}	          Got a “[26]”![6]
{0204}	          Got a “[26]”![6]
{0205}	          Got a “[26]”![6]
{0206}	          Got a “[26]”![6]
{0207}	          Got a “[26]”![6]
{0208}	          Got a “[26]”![6]
{0209}	          Got a “[26]”![6]
{0210}	          Got a “[26]”![6]
{0211}	          Got a “[26]”![6]
{0212}	          Got a “[26]”![6]
{0213}	          Got a “[26]”![6]
{0214}	          Got a “[26]”![6]
{0215}	          Got a “[26]”![6]
{0216}	          Got a “[26]”![6]
{0217}	          Got a “[26]”![6]
{0218}	          Got a “[26]”![6]
{0219}	          Got a “[26]”![6]
{0220}	          Got a “[26]”![6]
{0221}	          Got a “[26]”![6]
{0222}	          Got a “[26]”![6]
{0223}	          Got a “[26]”![6]
{0224}	          Got a “[26]”![6]
{0225}	          Got a “[26]”![6]
{0226}	          Got a “[26]”![6]
{0227}	          Got a “[26]”![6]
{0228}	          Got a “[26]”![6]
{0229}	          Got a “[26]”![6]
{0230}	          Got a “[26]”![6]
{0231}	          Got a “[26]”![6]
{0232}	          Got a “[26]”![6]
{0233}	          Got a “[26]”![6]
{0234}	          Got a “[26]”![6]
{0235}	          Got a “[26]”![6]
{0236}	          Got a “[26]”![6]
{0237}	          Got a “[26]”![6]
{0238}	          Got a “[26]”![6]
{0239}	          Got a “[26]”![6]
{0240}	          Got a “[26]”![6]
{0241}	          Got a “[26]”![6]
{0242}	          Got a “[26]”![6]
{0243}	          Got a “[26]”![6]
{0244}	          Got a “[26]”![6]
{0245}	          Got a “[26]”![6]
{0246}	          Got a “[26]”![6]
{0247}	          Got a “[26]”![6]
{0248}	          Got a “[26]”![6]
{0249}	          Got a “[26]”![6]
{0250}	          Got a “[26]”![6]
{0251}	          Got a “[26]”![6]
{0252}	          Got a “[26]”![6]
{0253}	          Got a “[26]”![6]
{0254}	          Got a “[26]”![6]
{0255}	          Got a “[26]”![6]
{0256}	          Got a “[26]”![6]
{0257}	          Got a “[26]”![6]
{0258}	          Got a “[26]”![6]
{0259}	          Got a “[26]”![6]
{0260}	          Got a “[26]”![6]
{0261}	          Got a “[26]”![6]
{0262}	          Got a “[26]”![6]
{0263}	          Got a “[26]”![6]
{0264}	          Got a “[26]”![6]
{0265}	          Got a “[26]”![6]
{0266}	          Got a “[26]”![6]
{0267}	          Got a “[26]”![6]
{0268}	          Got a “[26]”![6]
{0269}	          Got a “[26]”![6]
{0270}	          Got a “[26]”![6]
{0271}	          Got a “[26]”![6]
{0272}	          Got a “[26]”![6]
{0273}	          Got a “[26]”![6]
{0274}	          Got a “[26]”![6]
{0275}	          Got a “[26]”![6]
{0276}	          Got a “[26]”![6]
{0277}	          Got a “[26]”![6]
{0278}	          Got a “[26]”![6]
{0279}	          Got a “[26]”![6]
{0280}	          Got a “[26]”![6]
{0281}	          Got a “[26]”![6]
{0282}	          Got a “[26]”![6]
{0283}	          Got a “[26]”![6]
{0284}	          Got a “[26]”![6]
{0285}	          Got a “[26]”![6]
{0286}	          Got a “[26]”![6]
{0287}	          Got a “[26]”![6]
{0288}	          Got a “[26]”![6]
{0289}	          Got a “[26]”![6]
{0290}	          Got a “[26]”![6]
{0291}	          Got a “[26]”![6]
{0292}	          Got a “[26]”![6]
{0293}	          Got a “[26]”![6]
{0294}	          Got a “[26]”![6]
{0295}	          Got a “[26]”![6]
{0296}	          Got a “[26]”![6]
{0297}	          Got a “[26]”![6]
{0298}	          Got a “[26]”![6]
{0299}	          Got a “[26]”![6]
{0300}	          Got a “[26]”![6]
{0301}	          Got a “[26]”![6]
{0302}	          Got a “[26]”![6]
{0303}	          Got a “[26]”![6]
{0304}	          Got a “[26]”![6]
{0305}	          Got a “[26]”![6]
{0306}	          Got a “[26]”![6]
{0307}	          Got a “[26]”![6]
{0308}	          Got a “[26]”![6]
{0309}	          Got a “[26]”![6]
{0310}	          Got a “[26]”![6]
{0311}	          Got a “[26]”![6]
{0312}	          Got a “[26]”![6]
{0313}	          Got a “[26]”![6]
{0314}	          Got a “[26]”![6]
{0315}	          Got a “[26]”![6]
{0316}	          Got a “[26]”![6]
{0317}	          Got a “[26]”![6]
{0318}	          Got a “[26]”![6]
{0319}	          Got a “[26]”![6]
{0320}	          Got a “[26]”![6]
{0321}	          Got a “[26]”![6]
{0322}	          Got a “[26]”![6]
{0323}	          Got a “[26]”![6]
{0324}	          Got a “[26]”![6]
{0325}	          Got a “[26]”![6]
{0326}	          Got a “[26]”![6]
{0327}	          Got a “[26]”![6]
{0328}	          Got a “[26]”![6]
{0329}	          Got a “[26]”![6]
{0330}	          Got a “[26]”![6]
{0331}	          Got a “[26]”![6]
{0332}	          Got a “[26]”![6]
{0333}	          Got a “[26]”![6]
{0334}	          Got a “[26]”![6]
{0335}	          Got a “[26]”![6]
{0336}	          Got a “[26]”![6]
{0337}	          Got a “[26]”![6]
{0338}	          Got a “[26]”![6]
{0339}	          Got a “[26]”![6]
{0340}	          Got a “[26]”![6]
{0341}	          Got a “[26]”![6]
{0342}	          Got a “[26]”![6]
{0343}	          Got a “[26]”![6]
{0344}	          Got a “[26]”![6]
{0345}	          Got a “[26]”![6]
{0346}	          Got a “[26]”![6]
{0347}	          Got a “[26]”![6]
{0348}	          Got a “[26]”![6]
{0349}	          Got a “[26]”![6]
{0350}	          Got a “[26]”![6]
{0351}	          Got a “[26]”![6]
{0352}	          Got a “[26]”![6]
{0353}	          Got a “[26]”![6]
{0354}	          Got a “[26]”![6]
{0355}	          Got a “[26]”![6]
{0356}	          Got a “[26]”![6]
{0357}	          Got a “[26]”![6]
{0358}	          Got a “[26]”![6]
{0359}	          Got a “[26]”![6]
{0360}	          Got a “[26]”![6]
{0361}	          Got a “[26]”![6]
{0362}	          Got a “[26]”![6]
{0363}	          Got a “[26]”![6]
{0364}	          Got a “[26]”![6]
{0365}	          Got a “[26]”![6]
{0366}	          Got a “[26]”![6]
{0367}	          Got a “[26]”![6]
{0368}	          Got a “[26]”![6]
{0369}	          Got a “[26]”![6]
{0370}	          Got a “[26]”![6]
{0371}	          Got a “[26]”![6]
{0372}	          Got a “[26]”![6]
{0373}	          Got a “[26]”![6]
{0374}	          Got a “[26]”![6]
{0375}	          Got a “[26]”![6]
{0376}	          Got a “[26]”![6]
{0377}	          Got a “[26]”![6]
{0378}	          Got a “[26]”![6]
{0379}	          Got a “[26]”![6]
{0380}	          Got a “[26]”![6]
{0381}	          Got a “[26]”![6]
{0382}	          Got a “[26]”![6]
{0383}	          Got a “[26]”![6]
{0384}	          Got a “[26]”![6]
{0385}	          Got a “[26]”![6]
{0386}	          Got a “[26]”![6]
{0387}	          Got a “[26]”![6]
{0388}	          Got a “[26]”![6]
{0389}	          Got a “[26]”![6]
{0390}	          Got a “[26]”![6]
{0391}	          Got a “[26]”![6]
{0392}	          Got a “[26]”![6]
{0393}	          Got a “[26]”![6]
{0394}	          Got a “[26]”![6]
{0395}	          Got a “[26]”![6]
{0396}	          Got a “[26]”![6]
{0397}	          Got a “[26]”![6]
{0398}	          Got a “[26]”![6]
{0399}	          Got a “[26]”![6]
{0400}	          Got a “[26]”![6]
{0401}	          Got a “[26]”![6]
{0402}	          Got a “[26]”![6]
{0403}	          Got a “[26]”![6]
{0404}	          Got a “[26]”![6]
{0405}	          Got a “[26]”![6]
{0406}	          Got a “[26]”![6]
{0407}	          Got a “[26]”![6]
{0408}	          Got a “[26]”![6]
{0409}	          Got a “[26]”![6]
{0410}	          Got a “[26]”![6]
{0411}	          Got a “[26]”![6]
{0412}	          Got a “[26]”![6]
{0413}	          Got a “[26]”![6]
{0414}	          Got a “[26]”![6]
{0415}	          Got a “[26]”![6]
{0416}	          Got a “[26]”![6]
{0417}	          Got a “[26]”![6]
{0418}	          Got a “[26]”![6]
{0419}	          Got a “[26]”![6]
{0420}	          Got a “[26]”![6]
{0421}	          Got a “[26]”![6]
{0422}	          Got a “[26]”![6]
{0423}	          Got a “[26]”![6]
{0424}	          Got a “[26]”![6]
{0425}	          Got a “[26]”![6]
{0426}	          Got a “[26]”![6]
{0427}	          Got a “[26]”![6]
{0428}	          Got a “[26]”![6]
{0429}	          Got a “[26]”![6]
{0430}	          Got a “[26]”![6]
{0431}	          Got a “[26]”![6]
{0432}	          Got a “[26]”![6]
{0433}	          Got a “[26]”![6]
{0434}	          Got a “[26]”![6]
{0435}	          Got a “[26]”![6]
{0436}	          Got a “[26]”![6]
{0437}	          Got a “[26]”![6]
{0438}	          Got a “[26]”![6]
{0439}	          Got a “[26]”![6]
{0440}	          Got a “[26]”![6]
{0441}	          Got a “[26]”![6]
{0442}	          Got a “[26]”![6]
{0443}	          Got a “[26]”![6]
{0444}	          Got a “[26]”![6]
{0445}	          Got a “[26]”![6]
{0446}	          Got a “[26]”![6]
{0447}	          Got a “[26]”![6]
{0448}	          Got a “[26]”![6]
{0449}	          Got a “[26]”![6]
{0450}	          Got a “[26]”![6]
{0451}	          Got a “[26]”![6]
{0452}	          Got a “[26]”![6]
{0453}	          Got a “[26]”![6]
{0454}	          Got a “[26]”![6]
{0455}	          Got a “[26]”![6]
{0456}	          Got a “[26]”![6]
{0457}	          Got a “[26]”![6]
{0458}	          Got a “[26]”![6]
{0459}	          Got a “[26]”![6]
{0460}	          Got a “[26]”![6]
{0461}	          Got a “[26]”![6]
{0462}	          Got a “[26]”![6]
{0463}	          Got a “[26]”![6]
{0464}	          Got a “[26]”![6]
{0465}	          Got a “[26]”![6]
{0466}	          Got a “[26]”![6]
{0467}	          Got a “[26]”![6]
{0468}	          Got a “[26]”![6]
{0469}	          Got a “[26]”![6]
{0470}	          Got a “[26]”![6]
{0471}	          Got a “[26]”![6]
{0472}	          Got a “[26]”![6]
{0473}	          Got a “[26]”![6]
{0474}	          Got a “[26]”![6]
{0475}	          Got a “[26]”![6]
{0476}	          Got a “[26]”![6]
{0477}	          Got a “[26]”![6]
{0478}	          Got a “[26]”![6]
{0479}	          Got a “[26]”![6]
{0480}	          Got a “[26]”![6]
{0481}	          Got a “[26]”![6]
{0482}	          Got a “[26]”![6]
{0483}	          Got a “[26]”![6]
{0484}	          Got a “[26]”![6]
{0485}	          Got a “[26]”![6]
{0486}	          Got a “[26]”![6]
{0487}	          Got a “[26]”![6]
{0488}	          Got a “[26]”![6]
{0489}	          Got a “[26]”![6]
{0490}	          Got a “[26]”![6]
{0491}	          Got a “[26]”![6]
{0492}	          Got a “[26]”![6]
{0493}	          Got a “[26]”![6]
{0494}	          Got a “[26]”![6]
{0495}	          Got a “[26]”![6]
{0496}	          Got a “[26]”![6]
{0497}	          Got a “[26]”![6]
{0498}	          Got a “[26]”![6]
{0499}	          Got a “[26]”![6]
{0500}	          Got a “[26]”![6]
{0501}	          Got a “[26]”![6]
{0502}	          Got a “[26]”![6]
{0503}	          Got a “[26]”![6]
{0504}	          Got a “[26]”![6]
{0505}	          Got a “[26]”![6]
{0506}	          Got a “[26]”![6]
{0507}	          Got a “[26]”![6]
{0508}	          Got a “[26]”![6]
{0509}	          Got a “[26]”![6]
{0510}	          Got a “[26]”![6]
{0511}	          Got a “[26]”![6]
{0512}	          Got a “[26]”![6]
{0513}	          Got a “[26]”![0]
{0514}	[1]          Get down from there![0]
{0515}	              Won [28][0] coin(s)![0]
{0516}	          Found a “[26]”![0]
{0517}	      You win[13][4][6]
{0518}	      You lose[13][4][6]
{0519}	 Why don't you crash for a while?[2] It'll only cost you [28][1] coins![1] [7]  (Okay!)[1] [7]  (No, thanks.)[0]
{0520}	[4][1]    Ahem...you're a little short![0]
{0521}	[4][1]           Good luck, Mario![0]
{0522}	          Got a “[26]”![0]
{0523}	[4]        [28][1] Cookie(s)[6]
{0524}	          Got a “[26]”![0]
{0525}	    Got a “[26]”![6]
{0526}	            Got a Frog Coin![0]
{0527}	[4]        [28][1] Cookie(s)[0]
{0528}	 Mario![1] Hurry, the Chancellor awaits.[0]
{0529}	 Mario! Please, you've GOT[1] to save Princess Toadstool![0]
{0530}	 I haven't seen Princess Toadstool[1] lately...What?![1] Bowser's got her AGAIN?![0]
{0531}	          Received “[26]”[0]
{0532}	 MY WALLET!!![1] Has anyone seen my wallet?![0]
{0533}	 I hope my grandchild turns out to[1] be just like the Princess![0]
{0534}	 Mario![1] Let's say you and I get hitched in[1] a few years, okay?[3] Just[12][12]... give me time to grow[1] into my mother's wedding dress![0]
{0535}	 Hey, Mario![1] Look what you're standin' in![6]
{0536}	[4][1]               HA! Gotcha![0]
{0537}	 That horrible crocodile...[1] and wearing crocodile-skin shoes,[1] no less! Has he no shame?[0]
{0538}	[1]      All I do is cook and clean![0]
{0539}	[1]                 Nah nah!![13][48][6]
{0540}	[1]     Mmmph...grmmmph...chomp...[0]
{0541}	 One! Two! Three![1] Think if I practice enough I'll[1] jump as high as you, Mario?[2] [7]  (Sure!)[1] [7]  (Yeah, right kid.)[0]
{0542}	 Mario! What a pleasant surprise![3] One of Frogfucius' grandchildren[1] is running errands in town today.[12][12][1] I haven't seen him, though..[12]..[12][3] Oh, you're here to shop?[6]
{0543}	 You know, I hate to admit it...[1] But I LOVE this job![0]
{0544}	  [1] What are you looking for?[0]
{0545}	[1]                 Yeah!!![0]
{0546}	[1]             Thanks a bunch.[0]
{0547}	 Hey Mario![1] My brother's waiting[1] for you upstairs![0]
{0548}	RAZ: Say hey, Mario![1] Guess what?[12]...[12][2] Raini isn't just a “friend”[1] anymore. We're getting married.[0]
{0549}	RAZ: Yeah, she's right.[1] I guess we can put it off until[1] things cool down around here.[0]
{0550}	TOAD: Mario, there you are![1] I'll tell the Chancellor you're here.[2] I'll wait for you down the hallway.[0]
{0551}	[1]            This way, please.[0]
{0552}	[1]                Hey, chill![0]
{0553}	[1]      Didn't I tell you to CHILL?![0]
{0554}	[1]        Sir, Mario has arrived![0]
{0555}	CHANCELLOR: Mario![1] Thank goodness you're here! [0]
{0556}	 We heard an explosion or something[1] at Bowser's Keep. It was so loud[1] I almost dropped my spores!!![0]
{0557}	 Uh...excuse me? W...where's the[1] Princess? She departed for your[1] house HOURS ago...![0]
{0558}	 I fear the worst! Could Bowser[1] somehow be behind all of this?[0]
{0559}	CHANCELLOR: Spores alive!!![1] You're telling us that Bowser has[1] abducted the Princess AGAIN?[0]
{0560}	 Things are ALWAYS happening to[1] her! What an UNLUCKY child![0]
{0561}	 Nevermind. It will be up to you to[1] enter the keep and rescue[1] Princess Toadstool![0]
{0562}	CHANCELLOR: Egad![1] The keep is unassailable?! What[1] awful power is at work here?![0]
{0563}	 Mario...her life is in your hands.[1] Please, save our dear Princess![0]
{0564}	[1]   We know you won't let us down![0]
{0565}	[1]  So long Mario....and good luck![0]
{0566}	TOAD: Where could the Princess be?[1] We're all counting on you[1] to find her, Mario![0]
{0567}	[1]            Come back here!![0]
{0568}	CHANCELLOR: All we can do is[1] wait here. Don't let us down![0]
{0569}	CHANCELLOR: On your way now![0]
{0570}	 Y, yes?...[12]Gee, you're soaking[1] wet, aren't you?[0]
{0571}	 I'm all right now. Sorry...[1] There's nothing like a good cry![2] [12]But,[12] why was I crying?[5][6]
{0572}	 Oh, no! That REPTILE[1] stole my Grandpa's coin![0]
{0573}	[4] B...boo hoo...sniffle...[2] I can't cry. Big boys don't cry.[12][1] But it's just not fair...![3][1] What am I gonna do? Waaaaaah!!![0]
{0574}	 My Grandpa asked me to buy some[1] things for him here. When I walked[1] into town, that croc stopped me![0]
{0575}	 Oh yeah! He took it from me![1] He stole my coin! I chased[1] him, but he's way too fast...[0]
{0576}	 Mario![1] Let's see how you're going[1] to take care of Bowser![6]
{0577}	[4] Wow![1] He doesn't stand a chance![0]
{0578}	 It was that reptile! He's the[1] one who stole my wallet...![0]
{0579}	[1] ...but I let him get away...[0]
{0580}	 Dunno what that reptile's up to,[1] but[12]...[12] MAN, can he JUMP![0]
{0581}	 Wow! You're THE Mario? I know[1] all about you! You've got more[1] JUMP in you than a box of frogs![0]
{0582}	[4] I'm Mallow from Tadpole Pond.[1] I'm a frog, but can you believe it?[1] I can't jump. Embarrassing huh?[0]
{0583}	[4] How about it, Mario![1] Will you help me catch that[1] filthy thief?[2] [7]  (Sure thing)[1] [7]  (I'm a little busy)[0]
{0584}	     The young frog, Mallow, who[1]      doesn't look AT ALL like a[1]    frog, joins Mario in his quest.[0]
{0585}	 You're sure you won't reconsider?[2] [7]  (All right, I'll help you)[1] [7]  (Sorry)[0]
{0586}	 Oh, please[12][12]...[1] Pretty please?[2] [7]  (Okay, okay...)[1] [7]  (NO!)[0]
{0587}	[4] I never thought you'd be[1] so mean, Mario.[0]
{0588}	 Who cares if you can JUMP?[1] Being mean is soooo UNCOOL![0]
{0589}	MALLOW: You know I can't get my[1] coin back without your help.[2] [7]  (All right, already)[1] [7]  (No means NO!)[0]
{0590}	 A lot of creepy looking thugs[1] have been sneaking into town...[1] Not on MY watch!![0]
{0591}	 Rain or shine, I stand watch![2] But this is getting ridiculous![0]
{0592}	 But this is getting ridiculous![0]
{0593}	[1] There was SOME reason[12][12]...[0]
